time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1762787316587000000,28031.211,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762787516852000000,28231.476,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762787717034000000,28431.65799975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762787917251000000,28631.875,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762788117402000000,28832.02599975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762788317628000000,29032.252,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762788517788000000,29232.412,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762788718027000000,29432.651,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762788918271000000,29632.895,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762789118424000000,29833.048,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762789318641000000,30033.265,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762789518858000000,30233.48199975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762789719145000000,30433.769,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762789919389000000,30634.013,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
