time,seconds_elapsed,steps
1762765560851091000,6275.475091064453,2130
1762765563424545800,6278.048545898438,2134
1762765565998016000,6280.6220161132815,2134
1762765568571499300,6283.195499267578,2138
1762765571144976600,6285.7689765625,2142
1762765573718431500,6288.342431396484,2146
1762765576291854600,6290.9158544921875,2150
1762765578865245700,6293.489245605469,2154
1762765581438616600,6296.062616455079,2159
1762765584011966700,6298.635966796875,2163
1762765586585297000,6301.209296875,2167
1762765589158604000,6303.782604003906,2171
1762765591733145300,6306.357145263672,2175
1762765594306410200,6308.93041015625,2175
1762765596879676000,6311.503676025391,2177
1762765599452946200,6314.076946289062,2177
1762765602026218000,6316.6502180175785,2177
1762765604599495400,6319.223495361328,2177
1762765607172782600,6321.796782470703,2177
1762765609746703600,6324.370703613281,2177
1762765890225762800,6604.849762695312,2177
1762765892799122700,6607.423122802735,2189
1762765895372478000,6609.996478027344,2194
1762765897945815000,6612.569814941407,2198
1762765900519130600,6615.143130615234,2203
1762765903092418300,6617.716418212891,2208
1762765905665679600,6620.2896796875,2213
1762765908238915600,6622.862915527344,2217
1762765910812123400,6625.436123291016,2220
1762765913385307000,6628.0093068847655,2224
1762765915958470400,6630.582470458984,2228
1762765918531612400,6633.155612304688,2233
1762765921104735000,6635.728734863281,2238
1762765923677842000,6638.301842041015,2244
1762765926250932200,6640.874932128906,2248
1762765928824008000,6643.448008056641,2253
1762765931397075200,6646.021075195313,2258
1762765933970132700,6648.5941328125,2263
1762765936545693700,6651.169693603516,2267
1762765939118756900,6653.742756835937,2272
1762765941691852500,6656.315852539063,2276
1762765944264967400,6658.888967529297,2281
1762765946838080000,6661.462080078125,2286
1762765949411182800,6664.035182861328,2290
1762765951984275500,6666.608275390625,2295
1762765954557353700,6669.181353759765,2300
1762765957130420700,6671.754420654297,2305
1762765959703473200,6674.327473144531,2309
1762765962276509000,6676.900509033203,2314
1762765964849531600,6679.473531738281,2318
1762765967422539000,6682.0465390625,2323
1762765969995538200,6684.619538085937,2327
1762765972568529700,6687.192529785157,2332
1762765975141513700,6689.765513671875,2336
1762765977714494200,6692.338494140625,2341
1762765980287470600,6694.911470703125,2346
1762765982860439800,6697.484439697266,2350
1762765985433407700,6700.057407714844,2354
1762765988006370800,6702.63037084961,2358
1762765990579331600,6705.203331542969,2362
1762765993152289800,6707.7762897949215,2367
1762765995725245700,6710.349245605469,2371
1762765998298199000,6712.922198974609,2375
1762766000871147300,6715.495147216797,2380
1762766003444090400,6718.068090332031,2385
1762766006017031700,6720.6410317382815,2390
1762766008589975000,6723.213975097657,2395
1762766011162919200,6725.786919189453,2400
1762766013735862800,6728.359862792969,2405
1762766016308808400,6730.932808349609,2410
1762766018883011300,6733.507011230468,2411
1762766021455968000,6736.079968017578,2416
1762766024028934400,6738.652934326172,2421
1762766026601900500,6741.225900634766,2425
1762766029174868500,6743.798868408203,2430
1762766031747835600,6746.37183569336,2435
1762766034320804600,6748.9448046875,2439
