time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1762766622000081000,7336.624080810547,62.59764048177749,1.0057588774694604,69.42122555695018,41.90356266081224,15.0076403291896,81.6272964477539,14.24595455983222,5.595069141274527,12.478086336985902,1.1708966799712377
1762766632000015400,7346.624015380859,63.68714958615601,0.9577635235901236,58.75852756105151,41.90357854769131,16.09714943356812,81.6272964477539,14.245954560031022,6.902895935864787,12.47823081932467,1.2914397938007407
1762766641999988000,7356.623988037109,62.43935212213546,0.9478489036214957,61.58119864905503,41.90359780114585,14.84935196954757,80.15563201904297,14.245954566656152,6.940687892778148,12.47838182816614,1.19842240531308
1762766651999981000,7366.623980957032,63.04467706754804,0.967658292886434,62.5993451264711,41.90361692060251,15.454676914960146,80.15563201904297,14.2459545612563,8.359554317257112,12.478525014481257,1.249461164368443
1762766661999984400,7376.623984375,62.514759020879865,0.932818933828833,76.59660125283784,41.90364294981911,14.924758868291974,80.31431579589844,14.245954536974796,8.774251480836185,12.478661124685951,0.944754349591002
1762766671999992800,7386.623992919922,63.78059908840805,0.952655581962968,71.78583274460244,41.90366133957909,16.190598935820162,80.31431579589844,14.245954565422158,8.495763525577399,12.478805346050432,1.0536443560959887
1762766682000004900,7396.624004882812,63.58637055195868,0.9696609593701964,68.78181544646768,41.90368115558475,15.99637039937079,81.07160186767578,14.245954557039516,7.360891433148581,12.478966249523468,1.140818396535191
1762766692000017200,7406.624017089844,64.04371050093323,0.9514708800086572,76.95714625707562,41.90369824700509,16.45371034834534,78.92768096923828,14.2459545859249,6.493645894487489,12.479103110545807,0.9607019702796928
1762766702000031500,7416.624031494141,63.93033066391945,0.996839965176882,102.36544295552984,41.90371861506804,16.34033051133156,75.35888671875,14.2459546003952,7.7778274174860496,12.479231080321272,0.7574896815989777
1762766712000045800,7426.624045898437,64.23779331613332,0.9864470469075374,63.60012472798378,41.90374362569819,16.64779316354543,74.0900650024414,14.245954523101922,8.058670422393748,12.479383507987055,1.213817346929566
1762766722000060200,7436.624060058593,64.20611771102995,1.0968859883278976,88.51255496185335,41.903804737176344,16.616117558442056,70.90756225585938,14.245954552210854,4.912327991787091,12.479512836254852,0.9960517720375072
1762766731999933200,7446.6239331054685,65.77602749876678,3.9082886407791073,-1.0,41.90381169862706,18.18602734617889,70.90756225585938,19.790957334723775,3.0,12.479544462151404,0.5835612982347634
1762766764080930000,7478.70492993164,71.51479775697837,-1.0,-1.0,41.9038624502536,23.924797604390477,-1.0,22.804287904648163,3.0,12.479195850718494,-1.0
1762766795016710400,7509.640710449219,64.64380989596248,3.4441755342133717,180.0,41.90374024236264,17.053809743374586,314.9199777243794,17.532687403076995,3.0,12.47919293210014,0.188480971034323
1762766805012455000,7519.636454833984,63.662874332629144,4.151631834409599,-1.0,41.90381996830121,16.072874180041254,-1.0,34.281424861319245,3.0,12.479133095191536,1.541012170888722
1762766815014829600,7529.638829589844,63.04756587091833,2.2734255114166593,180.0,41.90365470530632,15.457565718330445,328.1984123612557,14.245954590063585,3.0,12.479290451244584,0.2184030741217549
1762766929703907000,7644.327906982422,74.10479775697836,-1.0,-1.0,41.90368286290201,26.514797604390463,-1.0,5.5328567352236195,3.0,12.479263362577008,-1.0
1762767061761417000,7776.385416992188,74.10479775697836,-1.0,-1.0,41.90367429842867,26.514797604390463,-1.0,6.62737137772219,3.0,12.479269911407387,-1.0
1762767197772801800,7912.396801757813,74.10479775697836,-1.0,-1.0,41.903673242859014,26.514797604390463,-1.0,5.741387045358833,3.0,12.479273667600598,-1.0
1762767347821102000,8062.445102050781,74.10479775697836,-1.0,-1.0,41.90367353161394,26.514797604390463,-1.0,4.266100236629078,3.0,12.479272744121973,-1.0
